#Source Name                       RA                 DEC
AS753                         14h03m35.9s        -33d59m16s         210.899583333 -33.9877777778
Perseus_cluster               03h19m47.2s        +41d30m47s         49.9466666667 41.5130555556
A1367                         11h44m36.5s        +19d45m32s         176.152083333 19.7588888889
Coma_cluster                  12h59m48s          +27d58.8m          194.95 27.98
Ophiuchus_cluster             17h12m26s          -23d22.6m          258.108333333 -23.3766666667
A4038                         23h47m43.2s        -28d08m29s         356.93 -28.1413888889
2A_0335+096                    03h38m35.3s         +09d57m54s         54.6470833333 9.965
A1314                         11h34m50.5s        +49d03m28s         173.710416667 49.0577777778
A548                          05h47m01s          -25d37.0m          86.7541666667 -25.6166666667
A168                          01h15m12.0s        +00d19m48s         18.8 0.33
A3376                         06h01m45.7s        -39d59m34s         90.4404166667 -39.9927777778
A1213                         11h16m29s          +29d15.6m          169.120833333 29.26             
A3562                         13h33m36.3s        -31d39m40s         203.40125 -31.6611111111
A754                          09h09m08.4s        -09d39m58s         137.285 -9.66611111111
A85                           00h41m50.1s        -09d18m07s         10.45875 -9.30194444444
A2626                         23h36m30.3s        +21d08m33s         354.12625 21.1425
A3667                         20h12m30.5s        -56d49m55s         303.127083333 -56.8319444444
A2319                         19h21m08.8s        +43d57m30s         290.286666667 43.9583333333
A133                          01h02m42.1s        -21d52m25s         15.6754166667 -21.8736111111
A2256                         17h03m43s          +78d43.0m          255.929166667 78.7166666667
RXC_J0225.1–2928               02h25m08.6s         -29d28m34s         36.2858333333 -29.4761111111
A1795                         13h48m53.0s        +26d35m44s         207.220833333 26.5955555556
CIZA_J0649.3+1801              06h49m22.8s         +18d01m00s         102.345 18.0166666667
CL_0217+70                     02h17m00.0s         +70d36m00s         34.25 70.6
RXC_J1053.7+5452               10h53m44.4s         +54d52m21s         163.435 54.8725
A399                          02h57m56s          +13d01.0m          44.4833333333 13.0166666667
A2065                         15h22m42s          +27d43.4m          230.675 27.7233333333
A401                          02h58m57.5s        +13d34m46s         44.7395833333 13.5794444444
A2067                         15h23m07.9s        +30d50m42s         230.782916667 30.845
ZwCl_1742.1+3306               17h44m16.2753s     +32d59m55.115s      266.06781375 32.9986430556
A2029                         15h10m55.0s        +05d43m12s         227.729166667 5.72
A2061                         15h21m17.0s        +30d38m24s         230.320833333 30.64
A2255                         17h12m31s          +64d05.6m          258.129166667 64.0933333333
A478                          04h13m25.6s        +10d28m01s         63.3566666667 10.4669444444
A2142                         15h58m20.6s        +27d13m37s         239.585833333 27.2269444444
A725                          09h01m11s          +62d36.2m          135.295833333 62.6033333333
A3365                         05h48m13s          -21d56.1m          87.0541666667 -21.935
A13                           00h13m38.3s        -19d30m08s         3.40958333333 -19.5022222222
A610                          07h59m15s          +27d06.8m          119.8125 27.1133333333
A2048                         15h15m18s          +04d22.9m          228.825 4.38166666667
PKS_0745–191                   07h47m31.296s       -19d17m40.34s      116.8804 -19.2945388889
ZwCl_0008.8+5215               00h08m25.6s       +52d31m41s           2.10666666667 52.5280555556
